tensor(6.3361, grad_fn=<AddBackward0>)
tensor(6.6089, grad_fn=<AddBackward0>)
tensor(8.5817, grad_fn=<AddBackward0>)
tensor(8.0470, grad_fn=<AddBackward0>)
tensor(6.8597, grad_fn=<AddBackward0>)
tensor(5.9806, grad_fn=<AddBackward0>)
tensor(6.9322, grad_fn=<AddBackward0>)
tensor(6.5100, grad_fn=<AddBackward0>)
tensor(7.8015, grad_fn=<AddBackward0>)
tensor(7.1751, grad_fn=<AddBackward0>)
tensor(7.2216, grad_fn=<AddBackward0>)
tensor(6.1551, grad_fn=<AddBackward0>)
tensor(9.2042, grad_fn=<AddBackward0>)
tensor(7.2482, grad_fn=<AddBackward0>)
tensor(9.2554, grad_fn=<AddBackward0>)
tensor(7.7476, grad_fn=<AddBackward0>)
tensor(5.2354, grad_fn=<AddBackward0>)
tensor(7.2649, grad_fn=<AddBackward0>)
tensor(7.8628, grad_fn=<AddBackward0>)
tensor(8.7099, grad_fn=<AddBackward0>)
tensor(7.8240, grad_fn=<AddBackward0>)
tensor(7.0100, grad_fn=<AddBackward0>)
tensor(7.5919, grad_fn=<AddBackward0>)
tensor(7.3614, grad_fn=<AddBackward0>)
tensor(6.5066, grad_fn=<AddBackward0>)
tensor(7.8306, grad_fn=<AddBackward0>)
tensor(5.6953, grad_fn=<AddBackward0>)
tensor(8.2210, grad_fn=<AddBackward0>)
tensor(5.7707, grad_fn=<AddBackward0>)
tensor(6.5479, grad_fn=<AddBackward0>)
tensor(9.1469, grad_fn=<AddBackward0>)
tensor(6.6044, grad_fn=<AddBackward0>)
tensor(7.4337, grad_fn=<AddBackward0>)
tensor(6.1690, grad_fn=<AddBackward0>)
tensor(7.9596, grad_fn=<AddBackward0>)
tensor(7.0464, grad_fn=<AddBackward0>)
tensor(6.3372, grad_fn=<AddBackward0>)
tensor(6.7446, grad_fn=<AddBackward0>)
tensor(6.0722, grad_fn=<AddBackward0>)
tensor(8.1846, grad_fn=<AddBackward0>)
tensor(6.7912, grad_fn=<AddBackward0>)
tensor(6.1825, grad_fn=<AddBackward0>)
tensor(6.0053, grad_fn=<AddBackward0>)
tensor(8.3957, grad_fn=<AddBackward0>)
tensor(6.9341, grad_fn=<AddBackward0>)
tensor(6.9730, grad_fn=<AddBackward0>)
tensor(6.4956, grad_fn=<AddBackward0>)
tensor(6.1957, grad_fn=<AddBackward0>)
tensor(6.5506, grad_fn=<AddBackward0>)
tensor(7.8733, grad_fn=<AddBackward0>)
tensor(8.2468, grad_fn=<AddBackward0>)
tensor(5.9390, grad_fn=<AddBackward0>)
tensor(6.1765, grad_fn=<AddBackward0>)
tensor(6.7067, grad_fn=<AddBackward0>)
tensor(7.3724, grad_fn=<AddBackward0>)
tensor(8.3033, grad_fn=<AddBackward0>)
tensor(6.6124, grad_fn=<AddBackward0>)
tensor(5.7402, grad_fn=<AddBackward0>)
tensor(4.9757, grad_fn=<AddBackward0>)
tensor(6.8745, grad_fn=<AddBackward0>)
tensor(6.8568, grad_fn=<AddBackward0>)
tensor(8.7666, grad_fn=<AddBackward0>)
tensor(6.4268, grad_fn=<AddBackward0>)
tensor(7.2823, grad_fn=<AddBackward0>)
tensor(6.7266, grad_fn=<AddBackward0>)
tensor(7.0736, grad_fn=<AddBackward0>)
tensor(8.4144, grad_fn=<AddBackward0>)
tensor(7.2339, grad_fn=<AddBackward0>)
tensor(7.5272, grad_fn=<AddBackward0>)
tensor(5.8787, grad_fn=<AddBackward0>)
tensor(9.3444, grad_fn=<AddBackward0>)
tensor(7.5079, grad_fn=<AddBackward0>)
tensor(6.5112, grad_fn=<AddBackward0>)
tensor(5.9379, grad_fn=<AddBackward0>)
tensor(8.1770, grad_fn=<AddBackward0>)
tensor(7.3264, grad_fn=<AddBackward0>)
tensor(7.1818, grad_fn=<AddBackward0>)
tensor(7.9178, grad_fn=<AddBackward0>)
tensor(7.1021, grad_fn=<AddBackward0>)
tensor(7.2378, grad_fn=<AddBackward0>)
tensor(6.4491, grad_fn=<AddBackward0>)
tensor(5.8964, grad_fn=<AddBackward0>)
tensor(7.2828, grad_fn=<AddBackward0>)
tensor(6.3298, grad_fn=<AddBackward0>)
tensor(6.5601, grad_fn=<AddBackward0>)
tensor(6.6951, grad_fn=<AddBackward0>)
tensor(6.9507, grad_fn=<AddBackward0>)
tensor(7.0094, grad_fn=<AddBackward0>)
tensor(6.5394, grad_fn=<AddBackward0>)
tensor(7.4018, grad_fn=<AddBackward0>)
tensor(7.0503, grad_fn=<AddBackward0>)
tensor(6.6090, grad_fn=<AddBackward0>)
tensor(6.9639, grad_fn=<AddBackward0>)
tensor(6.2778, grad_fn=<AddBackward0>)
tensor(6.3905, grad_fn=<AddBackward0>)
tensor(6.1476, grad_fn=<AddBackward0>)
tensor(7.0740, grad_fn=<AddBackward0>)
tensor(6.4937, grad_fn=<AddBackward0>)
tensor(7.5799, grad_fn=<AddBackward0>)
tensor(6.5190, grad_fn=<AddBackward0>)
tensor(5.8015, grad_fn=<AddBackward0>)
tensor(5.8936, grad_fn=<AddBackward0>)
tensor(6.6765, grad_fn=<AddBackward0>)
tensor(9.0102, grad_fn=<AddBackward0>)
tensor(6.8599, grad_fn=<AddBackward0>)
tensor(9.0424, grad_fn=<AddBackward0>)
tensor(6.3018, grad_fn=<AddBackward0>)
tensor(6.4381, grad_fn=<AddBackward0>)
tensor(6.3128, grad_fn=<AddBackward0>)
tensor(6.8588, grad_fn=<AddBackward0>)
tensor(6.4453, grad_fn=<AddBackward0>)
